Caso de prueba,Estado,Tiempo ejecución,Observaciones
Banco Guayaquil,Aprobado,0.0 seg,Precisión aceptable
Banco Pacifico,Aprobado,0.0 seg,Problema de iluminación
Produbanco,Aprobado,0.0 seg,Falla detección de hora
Banco Internacional,Aprobado,0.0 seg,Precisión aceptable
Pichincha,Aprobado,0.0 seg,Precisión aceptable
Banco Guayaquil,Aprobado,0.0 seg,Precisión aceptable
Banco Pacifico,Aprobado,0.0 seg,Problema de iluminación
Produbanco,Aprobado,0.0 seg,Falla detección de hora
Banco Internacional,Aprobado,0.0 seg,Precisión aceptable
Pichincha,Aprobado,0.0 seg,Precisión aceptable
Banco Guayaquil,Aprobado,0.0 seg,Precisión aceptable
